ID,Name,PinyinName,Score,Season,Describe,Special,BaseID,SpecialName,SkillsID
101,百里屠苏,BaiLiTuSu,2,冬,"古剑铁衣映清辉，
百劫阎浮一念微。",false,101,,
102,风晴雪,FengQingXue,2,春,"青丝银栉别样梳，
天付婆娑入画图。",false,102,,
103,方兰生,FangLanSheng,2,春,"嫏嬛久觅紫云乡，
半枕清风鹤梦长。",false,103,,
104,襄铃,XiangLing,2,夏,"额前未肯点胭脂，
懒把相思细细知。",false,104,,
105,红玉,HongYu,2,秋,"九重环佩艳琳琅，
一段红绡旖旎长。",false,105,,
106,尹千觞,YinQianShang,2,秋,"江湖肝胆风波促，
万里云山醉梦真。",false,106,,
107,欧阳少恭,OuYangShaoGong,2,秋,"风前独坐弄琴筝，
明灭蓬山九万程。",false,107,,
108,巽芳,XunFang,2,春,"芳华如梦佳期逝，
蓦然回首柔情旧。",false,108,,
109,陵越,LingYue,2,冬,"剑意御风凌山月，
往事伴烛映霜雪。",false,109,,
110,悭臾,QianYu,2,夏,"东海祖州识命魂，
不周山下多古意。",false,110,,
111,阿翔,AXiang,2,冬,"一团冰雪含奇质，
万里云霄豁俊眸。",false,111,,
112,天墉城,TianYongCheng,2,夏,"昆仑山巅修至道，
剑御四野灵空明。",false,112,,
113,紫榕林,ZiRongLin,2,秋,"湖天春色归路迷，
幼狐梦醒眼迷离。",false,113,,
114,青玉坛,QingYuTan,2,秋,"试心桥上分阴阳，
魂兮魄兮难辨章。",false,114,,
115,榣山,YaoShan,2,秋,"沧海桑田新几度，
月明还照旧容颜。",false,115,,
116,蓬莱,PengLai,2,夏,"青阶似洗驻岁华，
蓬山曲径情无暇。",false,116,,
117,琴川,QinChuan,2,春,"杏花微雨沾衣湿，
陌路少年檐下识。",false,117,,
118,安陆,AnLu,2,秋,"醉白楼旁杏林黄，
岁首辞君别无恙。",false,118,,
119,桃花谷,TaoHuaGu,2,春,"花开花落蜂蝶舞，
日出日落泉叮咚。",false,119,,
120,幽都,YouDu,2,冬,"娲皇故里聚先贤，
风雨如晦葬龙渊。",false,120,,
121,红叶湖,HongYeHu,2,夏,"野睛露染狐呜咿，
红塘落叶榕嘘摇。",false,121,,
122,古剑焚寂,GuJianFenJi,2,夏,"琴心剑魄今何在，
留见星虹贯九天。",false,122,,
123,古剑红玉,GuJianHongYu,2,夏,"枫落龙渊宿此间，
青锋不再伴恨眠。",false,123,,
124,百胜刀,BaiShengDao,2,冬,"白刃出鞘饮煞气，
世事斗转换乾坤。",false,124,,
125,青玉司南佩,QingYuSiNanPei,2,春,"曲终人散心不悔，
一魂一魄永相随。",false,125,,
126,黑龙鳞片,HeiLongLinPian,2,夏,"浮云一别未虚掷，
光阴荏冉故人来。",false,126,,
127,凤来,FengLai,2,春,"神识邈邈拂丝弦，
人间离散月又圆。",false,127,,
128,焦炭,JiaoTan,2,夏,"天地为炉生妙物，
阴阳为炭造化功。",false,128,,
129,百里屠苏·天墉,BaiLiTuSu_TianYong,4,冬,"许向长空倾碧血，
由他业火寸心摧。",true,101,,
130,风晴雪·绵羊,FengQingXue_MianYang,6,春,"寿无金石固，随时爱景光，
与君一执手，衣袖十年香。",true,102,,
131,方兰生·蓝鲲,FangLanSheng_LanKun,6,春,"庭中生嘉树，华叶自飘摇，
温然发秀质，馥兰映琼瑶。",true,103,,
132,襄铃·熊猫,XiangLing_XiongMao,6,夏,"笑里秋千轻自语，
背人斗草弄晴丝。",true,104,,
133,红玉·兔子,HongYu_TuZi,6,秋,"昔日匣中三尺水，
曾与明月斗青霜。",true,105,,
134,尹千觞·大狗,YinQianShang_DaGou,6,秋,"久把江湖宿，落拓年复年，
唤醪濯尘骨，钓月伴酒仙。",true,106,,
135,百里屠苏·黑猫,BaiLiTuSu_HeiMao,6,冬,"眼底无故人，世事冷如铁。
谁与长相约，眉间刺新血。",true,101,,
136,风晴雪·凤曦,FengQingXue_FengXi,4,春,"好向寒节报花信，
春风一脉动幽都。",true,102,,
137,陵越·掌门,LingYue_ZhangMen,4,冬,"任侠为道守仙门，
见素抱朴未忘沉。",true,109,,
138,欧阳少恭·蓬莱,OuYangShaoGong_PengLai,4,秋,"偏有漏长惊永夜，
梦魂又觉第几生。",true,107,,
139,红玉·道服,HongYu_DaoFu,4,秋,"霜雪凝精神，桃花铸肌骨。
还报一寸心，愿同尘与土。",true,105,,
140,悭臾·水虺,QianYu_ShuiHui,4,夏,"榣山水湄遇长琴，?
通天彻地为知音。",true,110,,
141,襄铃·泉边掬影,XiangLing_QuanBianJuYing,4,夏,"谁家女儿娇， 垂发尚年少，
树下抱香眠，泉边掬影笑。",true,104,,
142,尹千觞·巫咸,YinQianShang_WuXian,4,秋,"漫举觥筹殷殷劝，
石火光隙寄此身。",true,106,,
143,方兰生·浮灯,FangLanSheng_FuDeng,4,春,"六艺四书全抛却，
一身尽染素心香。",true,103,,
144,巽芳·寂桐,XunFang_JiTong,4,春,"妾心声声唤情郎，
天涯处处皆苍茫。",true,108,,
201,乐无异,YueWuYi,2,夏,"杨柳风前歌玉树，
黄金堂下卧麒麟。",false,201,,
202,闻人羽,WenRenYu,2,秋,"朱颜流落东风里，
月满千山倚筑歌。",false,202,,
203,夏夷则,XiaYiZe,2,冬,"八极乘龙巡碧落，
一襟风雪载昆仑。",false,203,,
204,阿阮,ARuan,2,春,"楚梦沉醉朝复暮，
清歌远上巫山低。",false,204,,
205,禺期,YuQi,2,夏,"一世仙身为剑痴，
晗光蕴灵万事知。",false,205,,
206,谢衣,XieYi,2,夏,"花落庭前浮图现，
人间尽是晚晴天。",false,206,,
207,沈夜,ShenYe,2,冬,"时烬未烬陷永夜，
归期无期月寒沉。",false,207,,
208,沈曦,ShenXi,2,春,"梦呓短歌消长夜，
吉光片羽碎琉璃。",false,208,,
209,华月,HuaYue,2,冬,"元月夜下箜篌引，
不负相思不负君。",false,209,,
210,清和真人,QingHeZhenRen,2,秋,"明哲通达出太华，
山河秀丽诗酒花。",false,210,,
211,长安,ChangAn,2,春,"众人揽胜逐朝霞，
游子笑折一枝花。",false,211,,
212,百草谷,BaiCaoGu,2,夏,"横戈盘马草如茵，
介胄执袍郁成阴。",false,212,,
213,太华山,TaiHuaShan,2,冬,"巍巍云巅鹤长唳，
亭亭尘外山色霁。",false,213,,
214,神女墓,ShenNvMu,2,冬,"神农座下披华藻，
行云带雨香陨早。",false,214,,
215,流月城,LiuYueCheng,2,冬,"月冷千山孤城悬，
神木凋零远人间。",false,215,,
216,巫山,WuShan,2,夏,"风飖轻举降暮雨，
碧峭绵延匿神女。",false,216,,
217,静水湖,JingShuiHu,2,春,"水天一色洗尘嚣，
帘栊垂落与神交。",false,217,,
218,捐毒,JuanDu,2,秋,"玉门关外祭坛成，
浑邪葬处沙倾城。",false,218,,
219,露草,LuCao,2,春,"天地灵韵凝霜骨，
剑心支离相思苦。",false,219,,
220,金麒麟,JinQiLin,2,秋,"江上熏风鸳鸯游，
两小无猜赠麒麟。",false,220,,
221,通天之器,TongTianZhiQi,2,秋,"天道浩瀚难穷尽，
若涉渊水正道心。",false,221,,
222,兔子抱枕,TuZiBaoZhen,2,秋,"长长折耳护稚童，
圆圆黑眸沐春风。",false,222,,
223,华月箜篌,HuaYueKongHou,2,冬,"凝音织梦倚阑珊，
清商抚羽月沉沦。",false,223,,
224,古剑晗光,GuJianHanGuang,2,冬,"传世利刃寒光荧，
千秋凡铁宿魂灵。",false,224,,
225,昭明,ZhaoMing,2,春,"星屑玉魄结剑还，
光耀四野止寒夜。",false,225,,
226,无名之剑,WuMingZhiJian,2,秋,"上古威仪难复现，
敛光为华唤明心。",false,226,,
227,忘川,WangChuan,2,冬,"寂灭幻断前缘尽，
旋刺斩决君子心。",false,227,,
228,馋鸡,ChanJi,2,春,"北溟鲲游翻海震，
袖藏禅机翥天飞。",false,228,,
229,乐无异·偃师,YueWuYi_YanShi,6,夏,"金刚力士舞灵木，
墨意非攻定乾坤。",true,201,201,
